model,repeat,k,full,top_k
uni2,12,50,0.4523809523809524,0.4523809523809524
uni2,12,100,0.4523809523809524,0.4047619047619048
uni2,12,200,0.4523809523809524,0.4523809523809524
uni2,12,500,0.4523809523809524,0.4523809523809524
uni2,12,1000,0.4523809523809524,0.4523809523809524
uni2,13,20,0.4603174603174603,0.4603174603174603
uni2,13,50,0.4603174603174603,0.5079365079365079
uni2,13,100,0.4603174603174603,0.5079365079365079
uni2,13,200,0.4603174603174603,0.4603174603174603
uni2,13,500,0.4603174603174603,0.4603174603174603
uni2,13,1000,0.4603174603174603,0.4603174603174603
uni2,14,20,0.5079365079365079,0.5158730158730158
uni2,14,50,0.5079365079365079,0.5
uni2,14,100,0.5079365079365079,0.5079365079365079
uni2,14,200,0.5079365079365079,0.5079365079365079
uni2,14,500,0.5079365079365079,0.5555555555555556
uni2,14,1000,0.5079365079365079,0.5079365079365079
uni2,15,20,0.5079365079365079,0.35714285714285715
uni2,15,50,0.5079365079365079,0.5079365079365079
uni2,15,100,0.5079365079365079,0.5079365079365079
uni2,15,200,0.5079365079365079,0.5079365079365079
uni2,15,500,0.5079365079365079,0.5079365079365079
uni2,15,1000,0.5079365079365079,0.5079365079365079
uni2,16,20,0.4523809523809524,0.4047619047619047
uni2,16,50,0.4523809523809524,0.4523809523809524
uni2,16,100,0.4523809523809524,0.4047619047619048
uni2,16,200,0.4523809523809524,0.4047619047619048
uni2,16,500,0.4523809523809524,0.4047619047619048
uni2,16,1000,0.4523809523809524,0.4523809523809524
uni2,17,20,0.5555555555555556,0.3650793650793651
uni2,17,50,0.5555555555555556,0.4047619047619048
uni2,17,100,0.5555555555555556,0.5079365079365079
uni2,17,200,0.5555555555555556,0.5555555555555556
uni2,17,500,0.5555555555555556,0.5555555555555556
uni2,17,1000,0.5555555555555556,0.5555555555555556
uni2,18,20,0.5555555555555556,0.4603174603174603
uni2,18,50,0.5555555555555556,0.4603174603174603
uni2,18,100,0.5555555555555556,0.5079365079365079
uni2,18,200,0.5555555555555556,0.6587301587301587
uni2,18,500,0.5555555555555556,0.6587301587301587
uni2,18,1000,0.5555555555555556,0.5555555555555556
uni2,19,20,0.5634920634920635,0.3412698412698412
uni2,19,50,0.5634920634920635,0.5079365079365079
uni2,19,100,0.5634920634920635,0.4523809523809524
uni2,19,200,0.5634920634920635,0.5555555555555556
uni2,19,500,0.5634920634920635,0.5079365079365079
uni2,19,1000,0.5634920634920635,0.5634920634920635
