split,k,gigapath_full_balacc,gigapath_full_f1,gigapath_topk_balacc,gigapath_topk_f1,uni2_full_balacc,uni2_full_f1,uni2_topk_balacc,uni2_topk_f1,virchow2_full_balacc,virchow2_full_f1,virchow2_topk_balacc,virchow2_topk_f1
13,100,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
13,200,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
13,500,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
13,1000,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
13,1500,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
14,20,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.38888888888888884,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,50,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.5,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,100,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,200,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.5,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,500,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,1000,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
14,1500,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
15,20,0.5,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.13333333333333333
15,50,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.16666666666666666,0.13333333333333333
15,100,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.5,0.5
15,200,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.38888888888888884
