model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,26,100,0.4523809523809524,0.39682539682539675,0.45384615384615384,0.3956043956043956
gigapath,26,200,0.4523809523809524,0.39682539682539675,0.45384615384615384,0.3968253968253968
gigapath,26,500,0.4523809523809524,0.4523809523809524,0.45384615384615384,0.44502164502164504
gigapath,26,1000,0.4523809523809524,0.4603174603174603,0.45384615384615384,0.4447415329768271
gigapath,26,1500,0.4523809523809524,0.4523809523809524,0.45384615384615384,0.45384615384615384
gigapath,27,20,0.4126984126984126,0.19841269841269837,0.3811188811188811,0.20683760683760685
gigapath,27,50,0.4126984126984126,0.30158730158730157,0.3811188811188811,0.2967032967032967
gigapath,27,100,0.4126984126984126,0.4126984126984126,0.3811188811188811,0.3811188811188811
gigapath,27,200,0.4126984126984126,0.35714285714285715,0.3811188811188811,0.3367965367965368
gigapath,27,500,0.4126984126984126,0.4126984126984126,0.3811188811188811,0.3811188811188811
gigapath,27,1000,0.4126984126984126,0.4126984126984126,0.3811188811188811,0.3811188811188811
gigapath,27,1500,0.4126984126984126,0.4126984126984126,0.3811188811188811,0.3811188811188811
gigapath,28,20,0.5158730158730158,0.29365079365079366,0.483957219251337,0.2982905982905983
gigapath,28,50,0.5158730158730158,0.30158730158730157,0.483957219251337,0.29572649572649573
gigapath,28,100,0.5158730158730158,0.4047619047619048,0.483957219251337,0.40256410256410263
gigapath,28,200,0.5158730158730158,0.4047619047619048,0.483957219251337,0.40256410256410263
gigapath,28,500,0.5158730158730158,0.4603174603174603,0.483957219251337,0.4444444444444444
gigapath,28,1000,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,28,1500,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,29,20,0.4603174603174603,0.4444444444444444,0.4444444444444444,0.44502164502164504
gigapath,29,50,0.4603174603174603,0.4523809523809524,0.4444444444444444,0.4523809523809524
gigapath,29,100,0.4603174603174603,0.4126984126984126,0.4444444444444444,0.3844155844155844
gigapath,29,200,0.4603174603174603,0.4126984126984126,0.4444444444444444,0.3812409812409812
gigapath,29,500,0.4603174603174603,0.4126984126984126,0.4444444444444444,0.3811188811188811
gigapath,29,1000,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,29,1500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,30,20,0.4682539682539682,0.4047619047619047,0.42962962962962964,0.40005827505827507
