repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
24,2,0.25,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0
24,3,0.5,0.5,0.38888888888888884,0.75,0.6666666666666666,0.5555555555555555
24,4,0.0,0.0,0.0,0.0,0.0,0.0
24,5,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.38888888888888884
25,1,0.5,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.2222222222222222
25,2,0.25,0.3333333333333333,0.13333333333333333,0.5,0.6666666666666666,0.5
25,3,0.5,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.2222222222222222
25,4,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666
25,5,0.5,0.6666666666666666,0.4444444444444444,0.75,0.8333333333333334,0.7777777777777777
26,1,0.75,0.6666666666666666,0.6,0.5,0.5,0.4444444444444444
26,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
26,3,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
26,4,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.2222222222222222
26,5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
27,1,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
27,2,0.75,0.8333333333333334,0.7777777777777777,1.0,1.0,1.0
27,3,0.0,0.0,0.0,0.0,0.0,0.0
27,4,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.38888888888888884
27,5,0.0,0.0,0.0,0.0,0.0,0.0
28,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
28,2,0.5,0.5,0.4444444444444444,0.75,0.6666666666666666,0.5555555555555555
28,3,0.5,0.5,0.5,0.25,0.16666666666666666,0.16666666666666666
28,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
28,5,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
29,1,0.25,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0
29,2,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.2222222222222222
29,3,0.75,0.6666666666666666,0.5555555555555555,0.75,0.6666666666666666,0.6
29,4,0.5,0.6666666666666666,0.5,0.75,0.8333333333333334,0.7777777777777777
29,5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
30,1,0.25,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0
30,2,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
30,3,0.0,0.0,0.0,0.0,0.0,0.0
30,4,0.5,0.6666666666666666,0.5,0.0,0.0,0.0
30,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
31,1,0.0,0.0,0.0,0.0,0.0,0.0
31,2,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.5
31,3,0.5,0.5,0.4444444444444444,0.25,0.16666666666666666,0.16666666666666666
31,4,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
31,5,0.5,0.5,0.4444444444444444,0.75,0.8333333333333334,0.7777777777777777
32,1,0.5,0.3333333333333333,0.26666666666666666,0.25,0.16666666666666666,0.2222222222222222
32,2,0.75,0.6666666666666666,0.5555555555555555,0.5,0.3333333333333333,0.26666666666666666
32,3,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
32,4,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
32,5,0.0,0.0,0.0,0.25,0.3333333333333333,0.13333333333333333
33,1,0.25,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0
33,2,0.5,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444
33,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
33,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
33,5,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
34,1,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
34,2,0.5,0.5,0.4444444444444444,0.5,0.5,0.5
34,3,0.25,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0
34,4,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.16666666666666666
34,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
35,1,0.0,0.0,0.0,0.0,0.0,0.0
35,2,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
35,3,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.16666666666666666
35,4,0.75,0.8333333333333334,0.7777777777777777,0.5,0.6666666666666666,0.5
35,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.13333333333333333
36,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
36,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.4444444444444444
36,3,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.16666666666666666
36,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
36,5,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666
37,1,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5,0.38888888888888884
37,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
37,3,0.0,0.0,0.0,0.0,0.0,0.0
37,4,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4444444444444444
37,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
38,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
38,2,0.25,0.16666666666666666,0.2222222222222222,0.5,0.5,0.4444444444444444
38,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
38,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
38,5,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
39,1,0.0,0.0,0.0,0.25,0.16666666666666666,0.2222222222222222
39,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.13333333333333333
39,3,0.0,0.0,0.0,0.25,0.16666666666666666,0.16666666666666666
39,4,0.75,0.6666666666666666,0.6,0.5,0.5,0.5
39,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.5,0.38888888888888884
40,1,0.25,0.16666666666666666,0.2222222222222222,0.25,0.16666666666666666,0.2222222222222222
40,2,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.13333333333333333
40,3,0.75,0.8333333333333334,0.7777777777777777,1.0,1.0,1.0
40,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
40,5,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5,0.38888888888888884
41,1,0.25,0.16666666666666666,0.2222222222222222,0.25,0.16666666666666666,0.2222222222222222
41,2,0.5,0.5,0.4444444444444444,0.5,0.5,0.5
41,3,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
41,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
41,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
42,1,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
42,2,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
42,3,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
42,4,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.5
42,5,0.25,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.5
43,1,0.5,0.5,0.5,0.75,0.8333333333333334,0.7777777777777777
43,2,0.25,0.16666666666666666,0.2222222222222222,0.25,0.16666666666666666,0.16666666666666666
43,3,0.25,0.16666666666666666,0.16666666666666666,0.5,0.5,0.38888888888888884
43,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
43,5,0.5,0.5,0.5,0.5,0.5,0.38888888888888884
44,1,0.25,0.3333333333333333,0.2222222222222222,0.5,0.5,0.4444444444444444
44,2,0.5,0.5,0.4444444444444444,0.5,0.5,0.5
44,3,0.5,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444
44,4,0.5,0.5,0.5,0.5,0.5,0.5
44,5,0.0,0.0,0.0,0.0,0.0,0.0
45,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
45,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.5
45,3,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
45,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
45,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
46,1,0.5,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444
46,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
46,3,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.5
46,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
46,5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.13333333333333333
47,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
47,2,0.25,0.16666666666666666,0.2222222222222222,0.75,0.6666666666666666,0.5555555555555555
47,3,0.25,0.3333333333333333,0.13333333333333333,0.5,0.5,0.38888888888888884
47,4,0.0,0.0,0.0,0.0,0.0,0.0
47,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4444444444444444
48,1,0.75,0.8333333333333334,0.7777777777777777,0.75,0.8333333333333334,0.7777777777777777
48,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
48,3,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
48,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
48,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.2222222222222222
49,1,0.0,0.0,0.0,0.0,0.0,0.0
49,2,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.2222222222222222
49,3,0.0,0.0,0.0,0.25,0.16666666666666666,0.13333333333333333
49,4,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.16666666666666666
49,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
50,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
50,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.13333333333333333
50,3,0.5,0.5,0.4444444444444444,0.5,0.5,0.5
50,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
50,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
