model,repeat,accuracy,balanced_accuracy,macro_f1,train_balanced_accuracy
dummy,38,0.25,0.23809523809523805,0.19415204678362574,
dummy,39,0.25,0.23809523809523805,0.19415204678362574,
dummy,40,0.25,0.23809523809523805,0.19415204678362574,
dummy,41,0.25,0.23809523809523805,0.19415204678362574,
dummy,42,0.25,0.23809523809523805,0.19415204678362574,
dummy,43,0.25,0.23809523809523805,0.19415204678362574,
dummy,44,0.25,0.23809523809523805,0.19415204678362574,
dummy,45,0.25,0.23809523809523805,0.19415204678362574,
dummy,46,0.25,0.23809523809523805,0.19415204678362574,
dummy,47,0.25,0.23809523809523805,0.19415204678362574,
dummy,48,0.25,0.23809523809523805,0.19415204678362574,
dummy,49,0.25,0.23809523809523805,0.19415204678362574,
dummy,50,0.25,0.23809523809523805,0.19415204678362574,
