model,repeat,fold,accuracy,balanced_accuracy,macro_f1
uni_v2,15,1,0.75,0.8333333333333334,0.7777777777777777
uni_v2,15,2,0.5,0.5,0.38888888888888884
uni_v2,15,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,15,4,0.25,0.3333333333333333,0.16666666666666666
uni_v2,15,5,0.25,0.3333333333333333,0.16666666666666666
uni_v2,16,1,0.5,0.5,0.38888888888888884
uni_v2,16,2,0.25,0.16666666666666666,0.2222222222222222
uni_v2,16,3,0.5,0.5,0.4444444444444444
uni_v2,16,4,0.5,0.3333333333333333,0.2222222222222222
uni_v2,16,5,0.5,0.6666666666666666,0.5
uni_v2,17,1,0.25,0.16666666666666666,0.13333333333333333
uni_v2,17,2,0.5,0.5,0.4444444444444444
uni_v2,17,3,0.25,0.16666666666666666,0.16666666666666666
uni_v2,17,4,0.75,0.8333333333333334,0.7777777777777777
uni_v2,17,5,0.75,0.6666666666666666,0.6
uni_v2,18,1,0.5,0.3333333333333333,0.2222222222222222
uni_v2,18,2,0.25,0.3333333333333333,0.13333333333333333
uni_v2,18,3,0.5,0.3333333333333333,0.3333333333333333
uni_v2,18,4,0.5,0.5,0.38888888888888884
uni_v2,18,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,19,1,0.5,0.5,0.38888888888888884
uni_v2,19,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,19,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,19,4,0.25,0.3333333333333333,0.16666666666666666
uni_v2,19,5,0.25,0.16666666666666666,0.13333333333333333
uni_v2,20,1,0.5,0.5,0.5
uni_v2,20,2,0.5,0.5,0.4444444444444444
uni_v2,20,3,0.5,0.5,0.38888888888888884
uni_v2,20,4,0.25,0.16666666666666666,0.16666666666666666
uni_v2,20,5,0.5,0.5,0.38888888888888884
uni_v2,21,1,0.5,0.5,0.4444444444444444
uni_v2,21,2,0.5,0.5,0.38888888888888884
uni_v2,21,3,0.5,0.5,0.38888888888888884
uni_v2,21,4,0.5,0.6666666666666666,0.4444444444444444
uni_v2,21,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,22,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,22,2,0.0,0.0,0.0
uni_v2,22,3,0.75,0.6666666666666666,0.6
uni_v2,22,4,0.5,0.5,0.38888888888888884
uni_v2,22,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,23,1,0.0,0.0,0.0
uni_v2,23,2,0.5,0.6666666666666666,0.4444444444444444
uni_v2,23,3,0.75,0.6666666666666666,0.5555555555555555
uni_v2,23,4,1.0,1.0,1.0
uni_v2,23,5,0.5,0.6666666666666666,0.5
uni_v2,24,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,24,2,0.0,0.0,0.0
uni_v2,24,3,0.75,0.6666666666666666,0.5555555555555555
uni_v2,24,4,0.5,0.5,0.5
uni_v2,24,5,1.0,1.0,1.0
uni_v2,25,1,0.5,0.3333333333333333,0.2222222222222222
uni_v2,25,2,0.5,0.5,0.38888888888888884
uni_v2,25,3,0.5,0.3333333333333333,0.26666666666666666
uni_v2,25,4,0.5,0.5,0.38888888888888884
uni_v2,25,5,0.5,0.5,0.38888888888888884
uni_v2,26,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,26,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,26,3,0.5,0.5,0.38888888888888884
uni_v2,26,4,0.5,0.6666666666666666,0.4444444444444444
uni_v2,26,5,0.5,0.5,0.38888888888888884
uni_v2,27,1,0.5,0.5,0.38888888888888884
uni_v2,27,2,1.0,1.0,1.0
uni_v2,27,3,0.25,0.3333333333333333,0.16666666666666666
uni_v2,27,4,0.5,0.5,0.5
uni_v2,27,5,0.25,0.3333333333333333,0.3333333333333333
uni_v2,28,1,0.5,0.5,0.38888888888888884
uni_v2,28,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,28,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,28,4,0.5,0.5,0.38888888888888884
