split,model,k,full,top_k
16,virchow2,20,0.5,0.0
16,virchow2,50,0.5,0.5
16,virchow2,100,0.5,0.5
16,virchow2,200,0.5,0.5
16,virchow2,500,0.5,0.5
16,virchow2,1000,0.5,0.5
17,gigapath,20,0.3333333333333333,0.6666666666666666
17,gigapath,50,0.3333333333333333,0.8333333333333334
17,gigapath,100,0.3333333333333333,0.3333333333333333
17,gigapath,200,0.3333333333333333,0.3333333333333333
17,gigapath,500,0.3333333333333333,0.3333333333333333
17,gigapath,1000,0.3333333333333333,0.3333333333333333
17,uni2,20,0.5,0.8333333333333334
17,uni2,50,0.5,0.8333333333333334
17,uni2,100,0.5,0.8333333333333334
17,uni2,200,0.5,0.8333333333333334
17,uni2,500,0.5,0.8333333333333334
17,uni2,1000,0.5,0.5
17,virchow2,20,0.3333333333333333,0.3333333333333333
17,virchow2,50,0.3333333333333333,0.6666666666666666
17,virchow2,100,0.3333333333333333,0.6666666666666666
17,virchow2,200,0.3333333333333333,0.6666666666666666
17,virchow2,500,0.3333333333333333,0.6666666666666666
17,virchow2,1000,0.3333333333333333,0.6666666666666666
18,gigapath,20,1.0,0.6666666666666666
18,gigapath,50,1.0,0.6666666666666666
18,gigapath,100,1.0,1.0
18,gigapath,200,1.0,1.0
18,gigapath,500,1.0,1.0
18,gigapath,1000,1.0,0.6666666666666666
18,uni2,20,1.0,1.0
18,uni2,50,1.0,1.0
18,uni2,100,1.0,1.0
18,uni2,200,1.0,1.0
18,uni2,500,1.0,0.6666666666666666
18,uni2,1000,1.0,1.0
18,virchow2,20,1.0,0.8333333333333334
18,virchow2,50,1.0,1.0
18,virchow2,100,1.0,1.0
18,virchow2,200,1.0,1.0
18,virchow2,500,1.0,1.0
18,virchow2,1000,1.0,1.0
19,gigapath,20,0.0,0.0
19,gigapath,50,0.0,0.0
19,gigapath,100,0.0,0.16666666666666666
19,gigapath,200,0.0,0.0
19,gigapath,500,0.0,0.0
19,gigapath,1000,0.0,0.0
19,uni2,20,0.0,0.0
19,uni2,50,0.0,0.0
19,uni2,100,0.0,0.0
19,uni2,200,0.0,0.0
19,uni2,500,0.0,0.0
19,uni2,1000,0.0,0.0
19,virchow2,20,0.0,0.0
19,virchow2,50,0.0,0.0
19,virchow2,100,0.0,0.0
19,virchow2,200,0.0,0.0
19,virchow2,500,0.0,0.0
19,virchow2,1000,0.0,0.0
20,gigapath,20,0.6666666666666666,0.5
20,gigapath,50,0.6666666666666666,0.6666666666666666
20,gigapath,100,0.6666666666666666,0.6666666666666666
20,gigapath,200,0.6666666666666666,0.6666666666666666
20,gigapath,500,0.6666666666666666,0.6666666666666666
20,gigapath,1000,0.6666666666666666,0.6666666666666666
20,uni2,20,0.3333333333333333,0.16666666666666666
20,uni2,50,0.3333333333333333,0.0
20,uni2,100,0.3333333333333333,0.8333333333333334
20,uni2,200,0.3333333333333333,0.6666666666666666
20,uni2,500,0.3333333333333333,0.8333333333333334
20,uni2,1000,0.3333333333333333,0.16666666666666666
20,virchow2,20,0.3333333333333333,0.3333333333333333
20,virchow2,50,0.3333333333333333,0.3333333333333333
20,virchow2,100,0.3333333333333333,0.3333333333333333
20,virchow2,200,0.3333333333333333,0.3333333333333333
20,virchow2,500,0.3333333333333333,0.3333333333333333
20,virchow2,1000,0.3333333333333333,0.3333333333333333
21,gigapath,20,0.0,0.0
21,gigapath,50,0.0,0.0
21,gigapath,100,0.0,0.0
21,gigapath,200,0.0,0.0
21,gigapath,500,0.0,0.0
21,gigapath,1000,0.0,0.0
21,uni2,20,0.3333333333333333,0.3333333333333333
21,uni2,50,0.3333333333333333,0.3333333333333333
21,uni2,100,0.3333333333333333,0.3333333333333333
21,uni2,200,0.3333333333333333,0.3333333333333333
21,uni2,500,0.3333333333333333,0.3333333333333333
21,uni2,1000,0.3333333333333333,0.3333333333333333
21,virchow2,20,0.0,0.3333333333333333
21,virchow2,50,0.0,0.0
21,virchow2,100,0.0,0.3333333333333333
21,virchow2,200,0.0,0.0
21,virchow2,500,0.0,0.0
21,virchow2,1000,0.0,0.0
22,gigapath,20,0.8333333333333334,0.8333333333333334
22,gigapath,50,0.8333333333333334,0.8333333333333334
22,gigapath,100,0.8333333333333334,0.8333333333333334
22,gigapath,200,0.8333333333333334,0.8333333333333334
22,gigapath,500,0.8333333333333334,0.8333333333333334
22,gigapath,1000,0.8333333333333334,0.8333333333333334
22,uni2,20,0.8333333333333334,0.3333333333333333
22,uni2,50,0.8333333333333334,0.6666666666666666
22,uni2,100,0.8333333333333334,0.6666666666666666
22,uni2,200,0.8333333333333334,0.8333333333333334
22,uni2,500,0.8333333333333334,0.8333333333333334
22,uni2,1000,0.8333333333333334,0.8333333333333334
22,virchow2,20,0.5,0.5
22,virchow2,50,0.5,0.5
22,virchow2,100,0.5,0.5
22,virchow2,200,0.5,0.5
22,virchow2,500,0.5,0.5
22,virchow2,1000,0.5,0.5
23,gigapath,20,0.5,0.6666666666666666
23,gigapath,50,0.5,0.5
23,gigapath,100,0.5,0.5
23,gigapath,200,0.5,0.5
23,gigapath,500,0.5,0.5
23,gigapath,1000,0.5,0.5
23,uni2,20,0.5,0.5
23,uni2,50,0.5,0.5
23,uni2,100,0.5,0.5
23,uni2,200,0.5,0.5
23,uni2,500,0.5,0.5
23,uni2,1000,0.5,0.5
23,virchow2,20,0.5,0.0
23,virchow2,50,0.5,0.5
23,virchow2,100,0.5,0.5
23,virchow2,200,0.5,0.5
23,virchow2,500,0.5,0.5
23,virchow2,1000,0.5,0.5
24,gigapath,20,0.3333333333333333,0.3333333333333333
24,gigapath,50,0.3333333333333333,0.3333333333333333
24,gigapath,100,0.3333333333333333,0.5
24,gigapath,200,0.3333333333333333,0.5
24,gigapath,500,0.3333333333333333,0.3333333333333333
24,gigapath,1000,0.3333333333333333,0.3333333333333333
24,uni2,20,0.6666666666666666,0.6666666666666666
24,uni2,50,0.6666666666666666,0.3333333333333333
24,uni2,100,0.6666666666666666,0.6666666666666666
24,uni2,200,0.6666666666666666,0.6666666666666666
24,uni2,500,0.6666666666666666,0.6666666666666666
24,uni2,1000,0.6666666666666666,0.6666666666666666
24,virchow2,20,0.3333333333333333,0.6666666666666666
24,virchow2,50,0.3333333333333333,0.6666666666666666
24,virchow2,100,0.3333333333333333,0.3333333333333333
24,virchow2,200,0.3333333333333333,0.3333333333333333
24,virchow2,500,0.3333333333333333,0.3333333333333333
24,virchow2,1000,0.3333333333333333,0.3333333333333333
25,gigapath,20,0.6666666666666666,0.6666666666666666
25,gigapath,50,0.6666666666666666,0.6666666666666666
25,gigapath,100,0.6666666666666666,0.6666666666666666
25,gigapath,200,0.6666666666666666,0.6666666666666666
25,gigapath,500,0.6666666666666666,0.6666666666666666
25,gigapath,1000,0.6666666666666666,0.6666666666666666
25,uni2,20,0.6666666666666666,0.3333333333333333
25,uni2,50,0.6666666666666666,0.8333333333333334
25,uni2,100,0.6666666666666666,0.8333333333333334
25,uni2,200,0.6666666666666666,0.6666666666666666
25,uni2,500,0.6666666666666666,0.6666666666666666
25,uni2,1000,0.6666666666666666,0.6666666666666666
25,virchow2,20,0.8333333333333334,0.8333333333333334
25,virchow2,50,0.8333333333333334,0.8333333333333334
25,virchow2,100,0.8333333333333334,0.8333333333333334
25,virchow2,200,0.8333333333333334,0.8333333333333334
25,virchow2,500,0.8333333333333334,0.8333333333333334
25,virchow2,1000,0.8333333333333334,0.8333333333333334
26,gigapath,20,0.3333333333333333,0.6666666666666666
26,gigapath,50,0.3333333333333333,0.3333333333333333
26,gigapath,100,0.3333333333333333,0.3333333333333333
26,gigapath,200,0.3333333333333333,0.3333333333333333
26,gigapath,500,0.3333333333333333,0.3333333333333333
26,gigapath,1000,0.3333333333333333,0.3333333333333333
26,uni2,20,0.3333333333333333,0.3333333333333333
26,uni2,50,0.3333333333333333,0.3333333333333333
26,uni2,100,0.3333333333333333,0.3333333333333333
26,uni2,200,0.3333333333333333,0.3333333333333333
26,uni2,500,0.3333333333333333,0.3333333333333333
26,uni2,1000,0.3333333333333333,0.3333333333333333
26,virchow2,20,0.5,0.6666666666666666
26,virchow2,50,0.5,0.5
26,virchow2,100,0.5,0.5
26,virchow2,200,0.5,0.5
26,virchow2,500,0.5,0.5
26,virchow2,1000,0.5,0.16666666666666666
27,gigapath,20,0.3333333333333333,0.6666666666666666
27,gigapath,50,0.3333333333333333,0.3333333333333333
27,gigapath,100,0.3333333333333333,0.3333333333333333
27,gigapath,200,0.3333333333333333,0.3333333333333333
27,gigapath,500,0.3333333333333333,0.3333333333333333
27,gigapath,1000,0.3333333333333333,0.3333333333333333
27,uni2,20,0.3333333333333333,0.16666666666666666
27,uni2,50,0.3333333333333333,0.3333333333333333
27,uni2,100,0.3333333333333333,0.3333333333333333
27,uni2,200,0.3333333333333333,0.3333333333333333
27,uni2,500,0.3333333333333333,0.3333333333333333
27,uni2,1000,0.3333333333333333,0.3333333333333333
27,virchow2,20,0.3333333333333333,0.3333333333333333
27,virchow2,50,0.3333333333333333,0.3333333333333333
27,virchow2,100,0.3333333333333333,0.3333333333333333
27,virchow2,200,0.3333333333333333,0.3333333333333333
27,virchow2,500,0.3333333333333333,0.3333333333333333
27,virchow2,1000,0.3333333333333333,0.3333333333333333
28,gigapath,20,0.5,0.5
28,gigapath,50,0.5,0.5
28,gigapath,100,0.5,0.5
28,gigapath,200,0.5,0.5
28,gigapath,500,0.5,0.5
28,gigapath,1000,0.5,0.5
28,uni2,20,0.8333333333333334,0.0
28,uni2,50,0.8333333333333334,0.8333333333333334
28,uni2,100,0.8333333333333334,0.6666666666666666
28,uni2,200,0.8333333333333334,0.8333333333333334
28,uni2,500,0.8333333333333334,0.8333333333333334
28,uni2,1000,0.8333333333333334,0.8333333333333334
28,virchow2,20,0.8333333333333334,0.8333333333333334
28,virchow2,50,0.8333333333333334,0.8333333333333334
28,virchow2,100,0.8333333333333334,0.8333333333333334
28,virchow2,200,0.8333333333333334,0.5
28,virchow2,500,0.8333333333333334,0.5
28,virchow2,1000,0.8333333333333334,0.8333333333333334
29,gigapath,20,0.16666666666666666,0.3333333333333333
29,gigapath,50,0.16666666666666666,0.3333333333333333
29,gigapath,100,0.16666666666666666,0.16666666666666666
29,gigapath,200,0.16666666666666666,0.16666666666666666
29,gigapath,500,0.16666666666666666,0.16666666666666666
29,gigapath,1000,0.16666666666666666,0.16666666666666666
29,uni2,20,0.3333333333333333,0.5
29,uni2,50,0.3333333333333333,0.6666666666666666
29,uni2,100,0.3333333333333333,0.3333333333333333
29,uni2,200,0.3333333333333333,0.6666666666666666
29,uni2,500,0.3333333333333333,0.3333333333333333
29,uni2,1000,0.3333333333333333,0.3333333333333333
29,virchow2,20,0.0,0.0
29,virchow2,50,0.0,0.0
29,virchow2,100,0.0,0.5
29,virchow2,200,0.0,0.0
29,virchow2,500,0.0,0.0
29,virchow2,1000,0.0,0.0
30,gigapath,20,0.3333333333333333,0.16666666666666666
30,gigapath,50,0.3333333333333333,0.3333333333333333
30,gigapath,100,0.3333333333333333,0.3333333333333333
30,gigapath,200,0.3333333333333333,0.3333333333333333
30,gigapath,500,0.3333333333333333,0.3333333333333333
30,gigapath,1000,0.3333333333333333,0.3333333333333333
30,uni2,20,0.6666666666666666,0.3333333333333333
30,uni2,50,0.6666666666666666,0.3333333333333333
30,uni2,100,0.6666666666666666,0.6666666666666666
30,uni2,200,0.6666666666666666,0.6666666666666666
30,uni2,500,0.6666666666666666,0.6666666666666666
30,uni2,1000,0.6666666666666666,0.6666666666666666
30,virchow2,20,0.3333333333333333,0.16666666666666666
30,virchow2,50,0.3333333333333333,0.3333333333333333
30,virchow2,100,0.3333333333333333,0.3333333333333333
30,virchow2,200,0.3333333333333333,0.3333333333333333
30,virchow2,500,0.3333333333333333,0.3333333333333333
30,virchow2,1000,0.3333333333333333,0.3333333333333333
31,gigapath,20,0.3333333333333333,0.6666666666666666
31,gigapath,50,0.3333333333333333,0.6666666666666666
31,gigapath,100,0.3333333333333333,0.6666666666666666
31,gigapath,200,0.3333333333333333,0.6666666666666666
31,gigapath,500,0.3333333333333333,0.6666666666666666
31,gigapath,1000,0.3333333333333333,0.3333333333333333
31,uni2,20,1.0,0.3333333333333333
31,uni2,50,1.0,0.5
31,uni2,100,1.0,0.6666666666666666
31,uni2,200,1.0,1.0
31,uni2,500,1.0,0.6666666666666666
31,uni2,1000,1.0,0.8333333333333334
31,virchow2,20,0.3333333333333333,0.6666666666666666
31,virchow2,50,0.3333333333333333,0.6666666666666666
31,virchow2,100,0.3333333333333333,0.3333333333333333
31,virchow2,200,0.3333333333333333,0.3333333333333333
31,virchow2,500,0.3333333333333333,0.3333333333333333
31,virchow2,1000,0.3333333333333333,0.3333333333333333
32,gigapath,20,0.16666666666666666,0.3333333333333333
32,gigapath,50,0.16666666666666666,0.16666666666666666
32,gigapath,100,0.16666666666666666,0.16666666666666666
32,gigapath,200,0.16666666666666666,0.16666666666666666
32,gigapath,500,0.16666666666666666,0.16666666666666666
