model,aggregation,repeat,feature_dim,accuracy,balanced_accuracy,macro_f1
uni_v2,mean_std,2,3072,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std,3,3072,0.55,0.5555555555555556,0.5531135531135531
uni_v2,mean_std,4,3072,0.5,0.5079365079365079,0.5025641025641026
uni_v2,mean_std,5,3072,0.5,0.5,0.5018315018315019
uni_v2,mean_std,6,3072,0.55,0.5555555555555556,0.5538461538461538
uni_v2,mean_std,7,3072,0.4,0.4047619047619047,0.3871794871794872
uni_v2,mean_std,8,3072,0.5,0.5,0.5
uni_v2,mean_std,9,3072,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std,10,3072,0.55,0.5476190476190476,0.55007215007215
uni_v2,mean_std,11,3072,0.55,0.5555555555555556,0.5495726495726495
uni_v2,mean_std,12,3072,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std,13,3072,0.5,0.5079365079365079,0.5094017094017094
uni_v2,mean_std,14,3072,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std,15,3072,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean_std,16,3072,0.4,0.4047619047619047,0.39572649572649565
uni_v2,mean_std,17,3072,0.5,0.5079365079365079,0.49206349206349204
uni_v2,mean_std,18,3072,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std,19,3072,0.55,0.5634920634920634,0.5442890442890443
uni_v2,mean_std,20,3072,0.45,0.4523809523809524,0.45104895104895104
uni_v2,mean_std,21,3072,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std,22,3072,0.45,0.4523809523809524,0.4427350427350427
uni_v2,mean_std,23,3072,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std,24,3072,0.55,0.5634920634920634,0.5452991452991452
uni_v2,mean_std,25,3072,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean_std,26,3072,0.6,0.5952380952380952,0.5952797202797203
uni_v2,mean_std,27,3072,0.5,0.5158730158730158,0.4862914862914862
uni_v2,mean_std,28,3072,0.45,0.4603174603174603,0.4238095238095238
uni_v2,mean_std,29,3072,0.5,0.5158730158730158,0.4666666666666666
uni_v2,mean_std,30,3072,0.4,0.41269841269841273,0.39682539682539675
uni_v2,mean_std,31,3072,0.4,0.4047619047619047,0.3888888888888889
uni_v2,mean_std,32,3072,0.4,0.4047619047619048,0.39926739926739924
uni_v2,mean_std,33,3072,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std,34,3072,0.5,0.5,0.5018315018315019
uni_v2,mean_std,35,3072,0.4,0.4047619047619047,0.4055258467023173
uni_v2,mean_std,36,3072,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean_std,37,3072,0.5,0.5079365079365079,0.4982905982905983
uni_v2,mean_std,38,3072,0.45,0.4523809523809524,0.447008547008547
uni_v2,mean_std,39,3072,0.6,0.611111111111111,0.5952380952380952
uni_v2,mean_std,40,3072,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean_std,41,3072,0.35,0.35714285714285715,0.3427350427350428
uni_v2,mean_std,42,3072,0.4,0.4047619047619047,0.3871794871794872
uni_v2,mean_std,43,3072,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std,44,3072,0.4,0.4047619047619048,0.39829059829059826
uni_v2,mean_std,45,3072,0.5,0.5,0.5
uni_v2,mean_std,46,3072,0.5,0.5,0.5024531024531024
uni_v2,mean_std,47,3072,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std,48,3072,0.5,0.5079365079365079,0.49206349206349204
uni_v2,mean_std,49,3072,0.4,0.4047619047619047,0.39560439560439553
uni_v2,mean_std,50,3072,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std_median,1,4608,0.45,0.4523809523809524,0.44957264957264953
uni_v2,mean_std_median,2,4608,0.55,0.5555555555555556,0.5531135531135531
uni_v2,mean_std_median,3,4608,0.6,0.6031746031746031,0.6031746031746031
uni_v2,mean_std_median,4,4608,0.5,0.5079365079365079,0.5025641025641026
uni_v2,mean_std_median,5,4608,0.5,0.5,0.5051282051282051
uni_v2,mean_std_median,6,4608,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std_median,7,4608,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean_std_median,8,4608,0.5,0.5,0.5
uni_v2,mean_std_median,9,4608,0.55,0.5555555555555555,0.5384615384615384
uni_v2,mean_std_median,10,4608,0.5,0.5079365079365079,0.5018315018315019
uni_v2,mean_std_median,11,4608,0.6,0.611111111111111,0.5952380952380952
uni_v2,mean_std_median,12,4608,0.45,0.4523809523809524,0.4523809523809524
uni_v2,mean_std_median,13,4608,0.5,0.5079365079365079,0.5018315018315019
uni_v2,mean_std_median,14,4608,0.5,0.5079365079365079,0.49206349206349204
uni_v2,mean_std_median,15,4608,0.5,0.5079365079365079,0.4930069930069931
uni_v2,mean_std_median,16,4608,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std_median,17,4608,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std_median,18,4608,0.6,0.611111111111111,0.5952380952380952
uni_v2,mean_std_median,19,4608,0.55,0.5634920634920635,0.5427350427350427
uni_v2,mean_std_median,20,4608,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std_median,21,4608,0.5,0.5079365079365079,0.5
uni_v2,mean_std_median,22,4608,0.5,0.5,0.5
uni_v2,mean_std_median,23,4608,0.5,0.5079365079365079,0.48946608946608955
uni_v2,mean_std_median,24,4608,0.55,0.5634920634920634,0.5452991452991452
uni_v2,mean_std_median,25,4608,0.45,0.4523809523809524,0.4444444444444444
uni_v2,mean_std_median,26,4608,0.6,0.6031746031746031,0.6007326007326007
uni_v2,mean_std_median,27,4608,0.5,0.5158730158730158,0.4862914862914862
uni_v2,mean_std_median,28,4608,0.5,0.5158730158730158,0.46296296296296297
uni_v2,mean_std_median,29,4608,0.5,0.5158730158730158,0.4666666666666666
uni_v2,mean_std_median,30,4608,0.45,0.4682539682539682,0.4358974358974359
uni_v2,mean_std_median,31,4608,0.5,0.5158730158730158,0.4714285714285715
uni_v2,mean_std_median,32,4608,0.45,0.4523809523809524,0.4444444444444444
uni_v2,mean_std_median,33,4608,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std_median,34,4608,0.5,0.5,0.5018315018315018
uni_v2,mean_std_median,35,4608,0.45,0.4603174603174603,0.4513403263403264
uni_v2,mean_std_median,36,4608,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std_median,37,4608,0.5,0.5079365079365079,0.4982905982905983
uni_v2,mean_std_median,38,4608,0.45,0.4523809523809524,0.45483405483405476
